Participant,X,Z,Target_Name
BNC37_t3,0,-4.1,Automobile shop
BNC37_t3,0.05592877,2.900566,Automobile shop
BNC37_t3,-1.165597,9.59152,Automobile shop
BNC37_t3,-7.980577,10.73172,Automobile shop
BNC37_t3,-14.92039,11.34628,Automobile shop
BNC37_t3,-21.84857,12.07455,Automobile shop
BNC37_t3,-28.75748,12.85231,Automobile shop
BNC37_t3,-35.63551,13.79513,Automobile shop
BNC37_t3,-42.46742,14.96132,Automobile shop
BNC37_t3,-49.24615,16.39783,Automobile shop
BNC37_t3,0,-4.1,Police station 
BNC37_t3,-0.3340917,2.815762,Police station 
BNC37_t3,-1.173403,9.694827,Police station 
BNC37_t3,-0.1739576,16.59775,Police station 
BNC37_t3,-7.115422,16.01683,Police station 
BNC37_t3,-14.01713,16.66702,Police station 
BNC37_t3,-20.89811,16.85731,Police station 
BNC37_t3,-27.7809,16.76664,Police station 
BNC37_t3,-34.68169,17.06977,Police station 
BNC37_t3,-35.93655,23.58713,Police station 
BNC37_t3,-36.66705,30.3495,Police station 
BNC37_t3,-37.25133,37.13641,Police station 
BNC37_t3,-37.68055,43.94182,Police station 
BNC37_t3,-44.56218,44.71638,Police station 
BNC37_t3,-51.41045,45.8285,Police station 
BNC37_t3,-58.25637,46.86636,Police station 
BNC37_t3,-64.95075,48.59638,Police station 
BNC37_t3,-67.56571,54.78064,Police station 
BNC37_t3,-68.73753,48.3576,Police station 
BNC37_t3,-67.73297,41.52589,Police station 
BNC37_t3,-68.6367,34.65284,Police station 
BNC37_t3,-69.00948,27.7098,Police station 
BNC37_t3,-68.01708,20.88908,Police station 
BNC37_t3,-65.70997,14.42593,Police station 
BNC37_t3,-59.0509,13.13057,Police station 
BNC37_t3,-52.49104,11.40611,Police station 
BNC37_t3,-45.92916,9.716816,Police station 
BNC37_t3,-39.20024,9.358109,Police station 
BNC37_t3,-32.33031,8.534304,Police station 
BNC37_t3,-25.41672,8.685246,Police station 
BNC37_t3,-18.55179,9.393821,Police station 
BNC37_t3,-11.7055,10.23395,Police station 
BNC37_t3,-4.818903,10.74767,Police station 
BNC37_t3,2.087572,9.798856,Police station 
BNC37_t3,8.97598,10.01473,Police station 
BNC37_t3,15.83564,10.71266,Police station 
BNC37_t3,22.72919,11.2764,Police station 
BNC37_t3,29.65191,11.48889,Police station 
BNC37_t3,29.87707,5.29603,Police station 
BNC37_t3,30.98294,-1.156521,Police station 
BNC37_t3,32.34418,-7.657473,Police station 
BNC37_t3,38.56195,-10.64578,Police station 
BNC37_t3,44.56776,-14.15866,Police station 
BNC37_t3,0,-4.1,Fire Station
BNC37_t3,-1.360548,-10.61803,Fire Station
BNC37_t3,-1.023701,-17.23347,Fire Station
BNC37_t3,-0.6464297,-23.91186,Fire Station
BNC37_t3,-0.009897262,-30.83152,Fire Station
BNC37_t3,1.444202,-37.59575,Fire Station
BNC37_t3,2.989093,-44.30178,Fire Station
BNC37_t3,4.617554,-50.98936,Fire Station
BNC37_t3,11.54893,-52.24168,Fire Station
BNC37_t3,18.49117,-53.19887,Fire Station
BNC37_t3,25.4018,-54.2729,Fire Station
BNC37_t3,27.76949,-47.83553,Fire Station
BNC37_t3,29.28078,-41.10082,Fire Station
BNC37_t3,29.27118,-34.26258,Fire Station
BNC37_t3,29.34189,-27.45698,Fire Station
BNC37_t3,29.65223,-20.64907,Fire Station
BNC37_t3,31.27884,-13.92178,Fire Station
BNC37_t3,32.27359,-7.058811,Fire Station
BNC37_t3,33.27555,-0.1965586,Fire Station
BNC37_t3,34.35829,6.65782,Fire Station
BNC37_t3,35.39098,13.51801,Fire Station
BNC37_t3,36.23414,20.40228,Fire Station
BNC37_t3,36.59753,27.32315,Fire Station
BNC37_t3,36.00782,34.20106,Fire Station
BNC37_t3,35.46741,41.0754,Fire Station
BNC37_t3,34.74162,47.92376,Fire Station
BNC37_t3,34.00616,54.76882,Fire Station
BNC37_t3,33.24804,61.61652,Fire Station
BNC37_t3,32.83608,68.47751,Fire Station
BNC37_t3,32.61768,75.34617,Fire Station
BNC37_t3,25.77426,76.02979,Fire Station
BNC37_t3,0,-4.1,Bank
BNC37_t3,-1.095386,-10.87329,Bank
BNC37_t3,-3.212583,-17.39206,Bank
BNC37_t3,-9.979804,-16.30324,Bank
BNC37_t3,-16.84998,-15.71176,Bank
BNC37_t3,-23.74711,-15.56246,Bank
BNC37_t3,-30.63183,-15.55221,Bank
BNC37_t3,-32.8614,-9.520898,Bank
BNC37_t3,-35.96859,-3.53884,Bank
BNC37_t3,-38.82628,2.755416,Bank
